2025-06-23 07:06:49,883 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:19:08,784 | INFO     | authentication.views | post                 | Line 157  | Login attempt received.
2025-06-23 07:19:09,341 | INFO     | authentication.views | post                 | Line 174  | Login successful for user: abc
2025-06-23 07:23:00,184 | INFO     | authentication.views | post                 | Line 157  | Login attempt received.
2025-06-23 07:23:00,748 | INFO     | authentication.views | post                 | Line 174  | Login successful for user: NikhilVDX
2025-06-23 07:23:06,385 | INFO     | ImageApp1.views | get                  | Line 359  | UserDocumentView accessed by user ID: 7
2025-06-23 07:23:06,387 | INFO     | ImageApp1.views | get                  | Line 366  | Fetching documents for user ID: 7
2025-06-23 07:23:06,414 | INFO     | ImageApp1.views | get                  | Line 375  | 54 documents retrieved successfully.
2025-06-23 07:26:39,046 | INFO     | ImageApp1.views | post                 | Line 571  | Upload request received
2025-06-23 07:26:41,719 | INFO     |            root | post                 | Line 741  | Input tokens: 1563, Output tokens: 66
2025-06-23 07:26:45,501 | INFO     | ImageApp1.views | post                 | Line 782  | Document processed and saved successfully. Document ID: gAAAAABoWQG1VTmlafVS8DsxhXP_lPmjNbmgQOIxSZu9bWkmaZNVd5La6qoHBHla5haOWlISNmcJDUPAKkkUJ79lOoBaSmDxjw==
2025-06-23 07:28:45,767 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:28:49,504 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:29:10,416 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:29:12,201 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:38:27,614 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:38:29,542 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:39:28,362 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:39:30,291 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:42:39,005 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:42:40,802 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:43:18,339 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:43:20,144 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:44:01,531 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
2025-06-23 07:44:03,360 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-23 07:44:37,094 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\ImageApp1\views.py changed, reloading.
