2025-06-21 01:40:38,151 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:44:37,202 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\authentication\views.py changed, reloading.
2025-06-21 01:44:38,888 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:45:06,772 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\authentication\views.py changed, reloading.
2025-06-21 01:45:08,461 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:53:37,796 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\authentication\views.py changed, reloading.
2025-06-21 01:53:39,534 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:56:23,068 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\authentication\views.py changed, reloading.
2025-06-21 01:56:24,829 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:57:25,217 | INFO     | django.utils.autoreload | trigger_reload       | Line 265  | D:\IDP_AI_App\Backend\Django Projects (2)\Django Projects\ImageExtraction\authentication\views.py changed, reloading.
2025-06-21 01:57:26,940 | INFO     | django.utils.autoreload | run_with_reloader    | Line 667  | Watching for file changes with StatReloader
2025-06-21 01:57:41,871 | INFO     | authentication.views | post                 | Line 157  | Login attempt received.
2025-06-21 01:57:42,423 | INFO     | authentication.views | post                 | Line 174  | Login successful for user: NikhilVDX
2025-06-21 01:58:01,243 | INFO     | ImageApp1.views | post                 | Line 568  | Upload request received
2025-06-21 01:58:03,471 | INFO     |            root | post                 | Line 738  | Input tokens: 1563, Output tokens: 136
2025-06-21 01:58:08,299 | INFO     | ImageApp1.views | post                 | Line 779  | Document processed and saved successfully. Document ID: gAAAAABoVhGwz2ygEYzVTdLY0KshcX776IgK6YZ4PsRFF1HTAeaTRkmCfKE6pesgRyHIbDFTPlbwutXvOk245_9_kHfCl7lW4g==
2025-06-21 01:58:08,467 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVhGwz2ygEYzVTdLY0KshcX776IgK6YZ4PsRFF1HTAeaTRkmCfKE6pesgRyHIbDFTPlbwutXvOk245_9_kHfCl7lW4g==
2025-06-21 01:58:08,471 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 119
2025-06-21 01:58:08,485 | INFO     | ImageApp1.views | get                  | Line 300  | Document 119 retrieved successfully
2025-06-21 01:58:35,302 | INFO     | ImageApp1.views | get                  | Line 356  | UserDocumentView accessed by user ID: 7
2025-06-21 01:58:35,303 | INFO     | ImageApp1.views | get                  | Line 363  | Fetching documents for user ID: 7
2025-06-21 01:58:35,332 | INFO     | ImageApp1.views | get                  | Line 372  | 44 documents retrieved successfully.
2025-06-21 10:20:09,267 | INFO     | authentication.views | post                 | Line 157  | Login attempt received.
2025-06-21 10:20:09,844 | INFO     | authentication.views | post                 | Line 174  | Login successful for user: NikhilVDX
2025-06-21 10:23:10,555 | INFO     | ImageApp1.views | post                 | Line 568  | Upload request received
2025-06-21 10:23:33,404 | INFO     | ImageApp1.views | post                 | Line 779  | Document processed and saved successfully. Document ID: gAAAAABoVoglea-pET9zM5bFDFgjrTxl4o2OpDMaC4kWyZwk2KI3j0PSWcw_Rb0ZN7iMqttCfcuYKlR2H410U3A10CEnbRByig==
2025-06-21 10:23:33,568 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVoglea-pET9zM5bFDFgjrTxl4o2OpDMaC4kWyZwk2KI3j0PSWcw_Rb0ZN7iMqttCfcuYKlR2H410U3A10CEnbRByig==
2025-06-21 10:23:33,569 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 120
2025-06-21 10:23:33,586 | INFO     | ImageApp1.views | get                  | Line 300  | Document 120 retrieved successfully
2025-06-21 10:24:08,181 | INFO     | ImageApp1.views | get                  | Line 356  | UserDocumentView accessed by user ID: 7
2025-06-21 10:24:08,182 | INFO     | ImageApp1.views | get                  | Line 363  | Fetching documents for user ID: 7
2025-06-21 10:24:08,206 | INFO     | ImageApp1.views | get                  | Line 372  | 45 documents retrieved successfully.
2025-06-21 10:24:15,218 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVohIvWxiESo2CbQhc-HwFzhB4ZrcvTtZusiJGZR6N3e9ps3Ig8O9w2zwEDpHF_5cxzYQkESCRIWYctmhM9QxPYWm6g==
2025-06-21 10:24:15,219 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 120
2025-06-21 10:24:15,234 | INFO     | ImageApp1.views | get                  | Line 300  | Document 120 retrieved successfully
2025-06-21 10:24:20,655 | INFO     | ImageApp1.views | get                  | Line 356  | UserDocumentView accessed by user ID: 7
2025-06-21 10:24:20,656 | INFO     | ImageApp1.views | get                  | Line 363  | Fetching documents for user ID: 7
2025-06-21 10:24:20,683 | INFO     | ImageApp1.views | get                  | Line 372  | 45 documents retrieved successfully.
2025-06-21 10:24:33,115 | INFO     | ImageApp1.views | post                 | Line 568  | Upload request received
2025-06-21 10:24:47,079 | INFO     | ImageApp1.views | post                 | Line 779  | Document processed and saved successfully. Document ID: gAAAAABoVohvF1ta1MLmUxN6A-gEscFM469vdS7MnWI0-qqsvFlzUu-GqVDmdS9aKys4Rhwn_yyJ7Sk6VXZfcbTVBO9rmW2PIQ==
2025-06-21 10:24:47,233 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVohvF1ta1MLmUxN6A-gEscFM469vdS7MnWI0-qqsvFlzUu-GqVDmdS9aKys4Rhwn_yyJ7Sk6VXZfcbTVBO9rmW2PIQ==
2025-06-21 10:24:47,234 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 121
2025-06-21 10:24:47,249 | INFO     | ImageApp1.views | get                  | Line 300  | Document 121 retrieved successfully
2025-06-21 10:25:49,335 | INFO     | ImageApp1.views | post                 | Line 568  | Upload request received
2025-06-21 10:26:28,927 | INFO     | ImageApp1.views | post                 | Line 779  | Document processed and saved successfully. Document ID: gAAAAABoVojUTWvW0PRZ2jezmXzUfkGY6dFUTEtmnoGVCYkYsxSjjRe8Litvzt8dn1ofaxSdLl_spxZa8ENECH1a5pZKZ2kWEA==
2025-06-21 10:26:29,081 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVojUTWvW0PRZ2jezmXzUfkGY6dFUTEtmnoGVCYkYsxSjjRe8Litvzt8dn1ofaxSdLl_spxZa8ENECH1a5pZKZ2kWEA==
2025-06-21 10:26:29,082 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 122
2025-06-21 10:26:29,098 | INFO     | ImageApp1.views | get                  | Line 300  | Document 122 retrieved successfully
2025-06-21 10:26:45,697 | INFO     | ImageApp1.views | get                  | Line 356  | UserDocumentView accessed by user ID: 7
2025-06-21 10:26:45,698 | INFO     | ImageApp1.views | get                  | Line 363  | Fetching documents for user ID: 7
2025-06-21 10:26:45,722 | INFO     | ImageApp1.views | get                  | Line 372  | 47 documents retrieved successfully.
2025-06-21 10:27:05,963 | INFO     | ImageApp1.views | get                  | Line 292  | GetDocumentByIdView called with encrypted ID: gAAAAABoVojlcgLOfIVHEpM50na0TB1a404F6YL2o2B30MLVS840h6E4x-v5FQfOVZNjp5ewFRt8dgSjeT2fJ909_YbvnUuuQA==
2025-06-21 10:27:05,964 | DEBUG    | ImageApp1.views | get                  | Line 296  | Decrypted ID: 122
